date,부산_기온,부산_강수량,부산_풍속,부산_최대풍속,부산_습도,울산_기온,울산_강수량,울산_풍속,울산_최대풍속,울산_습도,인천_기온,인천_강수량,인천_풍속,인천_최대풍속,인천_습도,광양_기온,광양_강수량,광양_풍속,광양_최대풍속,광양_습도,부산_기상이벤트,울산_기상이벤트,인천_기상이벤트,광양_기상이벤트
2024-06-20,22.9,0.2,2.5,4.7,78.0,23.0,0.0,1.5,3.7,66.9,26.0,0.0,1.8,3.7,56.1,21.9,0.7,3.3,6.8,84.8,0,0,0,0
2024-06-21,24.0,0.0,2.9,5.9,78.6,23.8,0.0,1.4,2.9,73.1,24.9,0.0,2.0,5.2,67.3,23.6,0.7,2.7,7.3,78.9,0,0,0,0
2024-06-22,23.1,42.0,4.0,11.7,92.3,22.8,33.7,1.0,3.5,91.4,23.6,23.1,1.9,3.7,84.5,22.9,39.6,4.7,10.4,95.5,0,0,0,0
2024-06-23,24.1,0.1,4.1,7.1,84.6,24.3,0.0,0.9,2.5,83.9,23.9,1.1,2.5,4.8,83.6,24.1,0.5,4.7,9.0,86.5,0,0,0,0
2024-06-24,23.4,0.1,4.2,7.5,84.4,25.6,0.0,2.5,6.8,72.3,22.5,0.1,3.1,6.6,79.9,23.5,0.5,4.2,7.5,88.0,0,0,0,0
2024-06-25,23.2,0.1,2.8,5.3,62.5,23.9,0.0,1.9,3.9,54.4,22.3,0.1,3.1,6.2,67.3,22.8,0.5,3.5,6.6,65.5,0,0,0,0
2024-06-26,23.5,0.1,2.0,3.7,58.0,22.8,0.0,1.5,3.3,58.5,23.8,0.1,2.0,4.8,65.4,23.0,0.5,1.8,4.8,63.1,0,0,0,0
2024-06-27,21.8,1.5,1.6,3.4,71.0,21.3,0.0,1.0,2.4,70.0,24.3,0.1,1.9,4.1,66.9,19.9,2.4,3.0,7.8,81.6,0,0,0,0
2024-06-28,23.5,1.4,2.9,6.7,79.8,23.1,0.0,1.4,3.7,74.4,24.8,0.1,2.1,4.4,58.8,22.9,0.1,2.6,5.3,80.9,0,0,0,0
2024-06-29,23.1,68.9,4.7,15.8,89.4,23.5,35.9,2.1,5.3,85.0,25.8,57.7,2.3,6.8,69.9,22.6,47.3,3.8,14.1,94.1,1,0,1,1
